id,Theme,Enabling condition,Minimal,Key Factor,Question,Definition,Guidance,Follow up question(s),Examples of strategies to address gap in key factor
1,Motivar,Benefícios,Econômico,A restauração gera benefícios econômicos.,"• A restauração da área-alvo deverá gerar benefícios econômicos que resultem em um impacto financeiro ou econômico líquido positivo em toda a economia, em comparação com o uso atual da terra? ","Espera-se que a restauração da área candidata produza benefícios econômicos (por exemplo, diversificação econômica, prevenção de danos, novos produtos comercializáveis) que criem um impacto financeiro líquido positivo (benefícios privados) e/ou um impacto líquido positivo em toda a economia (benefícios públicos) em relação ao uso atual da terra. Nota lateral: “Impactos econômicos que se referem a benefícios ambientais que funcionam como bens públicos, ou a impactos econômicos em toda a economia que capturam os efeitos indiretos relacionados à restauração nas cadeias de valor e na economia em geral, incluindo o crescimento do PIB e o emprego. Esses impactos geralmente decorrem de benefícios econômicos, como diversificação, prevenção de danos e novos produtos de mercado possibilitados pela restauração. ","• Os benefícios econômicos da restauração correspondem aos resultados positivos gerais em termos de renda ou finanças que resultam da implementação de atividades de restauração em comparação com um cenário de manutenção do status quo. 
• Alguns exemplos de benefícios econômicos incluem aumento da renda, melhores oportunidades de negócios, aumento da produção de produtos essenciais ou novas oportunidades de emprego resultantes dos esforços de restauração. Uma lista mais completa dos potenciais benefícios está incluída nesta ferramenta na tabela “Benefícios da Restauração”.
• O cronograma para esta resposta deve levar em consideração o plano de atividades de restauração, reconhecendo que os processos de restauração e seus benefícios ocorrem a longo prazo.
• Anote quais pessoas ou grupos têm maior probabilidade de receber esses benefícios.
• Alguns proprietários de terras podem temer que a “restauração” signifique a perda de suas terras, seus direitos de uso ou sua renda em relação ao status quo. Portanto, a resposta a esta pergunta pode ser comprovada por documentos que demonstrem como os benefícios líquidos superam os custos. Nota: A formalização dos direitos territoriais poderá surgir como um benefício adicional do projeto de restauração. Em alguns casos, a implementação do projeto e o desembolso de fundos para apoiar as atividades de restauração podem exigir que os direitos de propriedade da terra sejam claramente definidos. Consequentemente, isso poderia acelerar os processos de demarcação e permitir que as comunidades locais obtivessem títulos legais de suas terras.","• Se a resposta for “sim”, quais são os benefícios econômicos esperados?
• Se a resposta for “sim”, quem recebe os benefícios?
• Se a respostar for  “não”, qual a magnitude da lacuna financeira ou econômica prevista?
","• Realizar uma análise de custo-benefício comparando (a) os prováveis benefícios gerados pela paisagem restaurada, (b) os prováveis custos de restauração da paisagem alvo e (c) os prováveis custos e benefícios do uso atual da paisagem.",8255
2,Motivar,Benefícios,Social,A restauração gera benefícios sociais.,"• A restauração da área-alvo deverá gerar benefícios sociais, culturais ou políticos para as pessoas que vivem nessa área, incluindo grupos vulneráveis como mulheres, jovens e povos indígenas?

","Espera-se que a restauração da área-alvo melhore os meios de subsistência, eleve o status social ou político de populações vulneráveis, proteja ou restaure sítios de patrimônio cultural natural ou o uso de práticas culturalmente significativas, ou produza outros benefícios sociais, culturais e/ou políticos para a população local.

","• Revise a lista de possíveis benefícios sociais na tabela ""Benefícios da Restauração"" disponível nos materiais de apoio desta ferramenta. Por exemplo, as atividades de restauração podem gerar benefícios sociais, culturais ou políticos, como maior visibilidade dos valores culturais, reconhecimento dos conhecimentos ecológicos tradicionais, alcançar conquistas políticas, aumento das oportunidades de lazer ou melhoria da equidade de gênero. A restauração também pode permitir que os governos sejam vistos como líderes na esfera global e cumpram os compromissos assumidos em acordos internacionais (por exemplo, UNFCCC, UNCCD, UNCDB, REDD, ODS). Além disso, a restauração pode ser benéfica para países ou comunidades com uma ligação cultural histórica às florestas ou outros ecossistemas (por exemplo, tradições e folclore ligados à floresta, meios de subsistência e emprego baseados em ecossistemas).
• Analise se os benefícios listados na tabela são reconhecidos ou considerados nos planos, programas ou atividades de restauração na paisagem em questão. 
• Anote quais pessoas ou grupos têm maior probabilidade de receber esses benefícios. 
","• Se a resposta for “sim”, quais são os benefícios sociais esperados?","• Envolver as comunidades que vivem dentro e ao redor da área-alvo para identificar seus objetivos e prioridades sociais, políticos ou culturais. Isso pode ser feito por meio de pesquisas ou workshops presenciais. Com base nesse exercício, criem em conjunto um mapa de intervenções de restauração que possam ajudar a alcançar esses objetivos. 
• Validar os planos de restauração existentes, os instrumentos de financiamento, os sistemas de monitoramento e os indicadores junto às comunidades locais, incluindo representantes de populações vulneráveis, para garantir que os planos atendam às necessidades da comunidade. ",
3,Motivar,Conscientização,Ambiental,A restauração gera benefícios ambientais.,• A restauração da área-alvo deverá gerar benefícios ambientais?,"Espera-se que a restauração da área-alvo gere benefícios ambientais substanciais e de longo prazo, incluindo a conservação e recuperação da biodiversidade, maior mitigação e adaptação às mudanças climáticas, menor degradação do solo e desertificação, e a restauração de serviços ecossistêmicos vitais, como regulação da água, fertilidade do solo e sequestro de carbono. Essas melhorias contribuirão para aumentar a resiliência ecológica e os meios de subsistência sustentáveis ao longo do tempo.","Alguns exemplos de benefícios ambientais incluem o aumento da biodiversidade, maior segurança das bacias hidrográficas, maior mitigação e adaptação às mudanças climáticas e aumento da fertilidade do solo, entre outros. Uma descrição mais completa dos benefícios ambientais previstos é fornecida nos materiais de apoio a este diagnóstico. Tabela “Benefícios da Restauração”.","• Se a resposta for “sim”, quais são os benefícios ambientais esperados?","• Envolver cientistas (por exemplo, biólogos, ecólogos, hidrólogos, cientistas do solo) para identificar quais benefícios ambientais poderiam ser gerados pelos esforços de restauração.         ",
4,Motivar,Conscientização,Comunicação pública,Os benefícios da restauração são comunicados publicamente.,"• Os benefícios da restauração da área-alvo são comunicados a todas as partes interessadas, incluindo os grupos vulneráveis, e os canais de comunicação são projetados para alcançar essas diversas partes interessadas??","Os benefícios da restauração da paisagem alvo foram claramente comunicados aos administradores de terras, grupos vulneráveis e outras partes interessadas.
","• A comunicação pode ser realizada por meio de diversos canais, incluindo artigos, imprensa, redes sociais, rádio e televisão, visitas de demonstração, obras de teatro de rua ou outras vias direcionadas às partes interessadas e aos tomadores de decisão relevantes.
• A comunicação entre pares sobre os benefícios da restauração pode ser um meio eficaz de aumentar a conscientização e motivar a ação.
• Analise se esta comunicação está organizada como parte de uma estratégia mais ampla de envolvimento das partes interessadas.
• Uma lista mais completa dos benefícios está incluída nos materiais de apoio ao diagnóstico, na tabela “Benefícios da Restauração”.
","• Que benefícios poderiam surgir?
• De que forma a comunicação com as principais partes interessadas foi especificamente direcionada ou incluída?
","• Desenvolver materiais e campanhas de conscientização por meio de jornais, rádio, televisão, internet ou visitas a locais, dependendo do público-alvo.
• Implementar ou aproveitar atividades de restauração já existentes em âmbito nacional, como programas de plantio de árvores em escolas ou em áreas públicas.
",
5,Motivar,Conhecimento,Oportunidades de Restauração ,As oportunidades de restauração são identificadas.,• As áreas prioritárias ou alvo para restauração foram identificadas e quantificadas?,As áreas adequadas para restauração foram identificadas e quantificadas.    ,"• As áreas-alvo para restauração são os locais onde os esforços de restauração devem ser realizados com base em uma combinação de considerações ambientais, sociais e econômicas. 
• As informações sobre essas oportunidades podem ser apresentadas em mapas nacionais ou subnacionais e/ou estratégias de restauração, e devem ser consistentes com as áreas que as agências governamentais utilizam ao alocar fundos, programas e recursos de planejamento para a restauração. 
• Analise se as partes interessadas reconhecem e se referem aos mesmos níveis de prioridade.","• Se a resposta for “sim”, quais são as áreas candidatas?
• Se a resposta for “sim”, qual é a dimensão da oportunidade de restauração?
",• Realizar uma atividade de planejamento sobre “Metodologia para avaliação de oportunidades de restauração”. Este é um recurso abrangente de planejamento de restauração disponível online em https://iucn.org/resources/grey-literature/guide-restoration-opportunities-assessment-methodology-roam,
6,Motivar,Eventos de crisis,Eventos de crisis,Eventos de crise são aproveitados,"• A área em questão está passando por um evento de crise, ou corre o risco de que um evento desse tipo ocorra no futuro, o que motivaria a restauração da paisagem em questão? E como esses eventos poderiam afetar diferentes grupos populacionais (rurais e camponeses, urbanos, indígenas, mulheres, jovens, etc.)? ",O governo e/ou a sociedade civil aproveitam o risco ou a oportunidade de eventos de crise para gerar apoio político e público à restauração de ecossistemas.,"• Eventos de crise podem incluir inundações, deslizamentos de terra, secas, incêndios, tempestades de areia, escassez de madeira, diminuição da produção agrícola e desemprego, entre outros.  As crises podem incluir desastres humanitários em que os danos poderiam ter sido evitados se os ecossistemas naturais estivessem intactos (por exemplo, um deslizamento de terra), em que a ação de restauração poderia abordar a crise (por exemplo, o desemprego) ou em que a restauração previne crises futuras (por exemplo, inundações). 
Ninguém deseja que esses eventos ocorram.  Mas quando esses eventos ocorrem, os defensores da restauração devem agir rapidamente para mobilizar apoio político e comunitário para a restauração.
• No contexto das mudanças climáticas e da resiliência, é necessário levar em consideração tanto os impactos climáticos passados quanto os cenários futuros e planejar de acordo, sendo que os limites agora precisam ser calculados de forma mais abrangente.","• Que tipos de crises ocorreram no cenário em questão no passado? 
• Que tipos de crises podem ocorrer no futuro?  
","• Realizar e comunicar pesquisas que quantifiquem e visualizem em que medida os ecossistemas restaurados podem prevenir ou mitigar desastres humanitários naturais e economizar dinheiro em esforços de mitigação quando o planejamento e a prevenção adequados são implementados.

• Quando ocorrerem desastres, comunique imediatamente ao público os benefícios da restauração.
",
7,Motivar,Requisitos legais,Existem leis e políticas.,Existem leis e políticas que exigem a restauração.,"• Existem leis ou políticas que obriguem os proprietários ou administradores de terras a replantar ou restaurar ecossistemas em áreas que foram desmatadas (por exemplo, florestas, pastagens, zonas úmidas)?",O governo possui leis e políticas que exigem que os administradores de terras permitam a recuperação da vegetação natural ou o replantio de árvores em ecossistemas naturais que tenham sido desmatados na área em questão.  ,"• Analise se a legislação exige especificamente a restauração, por exemplo, requisitos de reflorestamento, obrigações de reabilitação de terras ou regulamentos para a restauração de atividades extrativas. Essas leis e políticas especificam quem é obrigado a restaurar, em que situações e por quanto tempo? Este quadro legal aplica-se a todos os limites da área em questão? (Em outras palavras, os requisitos são válidos em todo o país?)
• Os requisitos de restauração geralmente são direcionados mais a entidades envolvidas em exploração madeireira comercial, mineração ou outras atividades extrativas do que a atividades de subsistência.","• Em caso afirmativo, quais são os termos e condições específicos estabelecidos pela lei (por exemplo, o que deve ser restituído, quando e como)?","• Estabelecer uma lei governamental (ou política industrial) que obrigue os administradores de terras a permitir que a vegetação se recupere ou seja replantada em áreas que foram desmatadas devido a sua própria atividade comercial (por exemplo, exploração madeireira, mineração, etc.).",
8,Motivar,Requisitos legais,As leis e políticas são compreendidas.,As leis e políticas que exigem a restauração são amplamente compreendidas e aplicadas.,"• A lei ou  política que exige a restauração de ecossistemas é aplicada de forma visível, credível e justa, e é amplamente compreendida por todos os atores relevantes, incluindo os grupos vulneráveis?","As leis e políticas que exigem a recuperação ou o replantio de árvores na paisagem em questão são compreendidas pelos atores relevantes e aplicadas de forma visível, credível e justa.","• Não basta que exista uma lei que exija a res; a lei deve ser aplicada de forma justa, compreendida pelas entidades afetadas e cumprida pelas autoridades para motivar a reparação.
• Analise se os requisitos legais para a restauração da paisagem são comunicados às principais partes interessadas e complementados por ações como campanhas de comunicação, medidas de fiscalização (por exemplo, multas) para violações dos requisitos de restauração e garantia de recursos humanos e financeiros adequados para o cumprimento das normas.
• Os mandatos governamentais de restauração podem gerar sensibilidades em relação ao envolvimento do governo em decisões sobre o uso da terra que, de outra forma, seriam da responsabilidade das comunidades tradicionais ou de proprietários de terras privados. Portanto, a forma como os requisitos legais são comunicados e complementados por outras políticas, incentivos e práticas pode ser importante para o sucesso do cumprimento desse requisito.",• Não basta ter uma lei que exija a reparação; é necessário que as entidades afetadas a compreendam e que as autoridades a apliquem para motivar a reparação.,"• Realizar uma campanha de comunicação para conscientizar as partes interessadas relevantes sobre os requisitos de restauração.
• Adotar medidas coercitivas (por exemplo, multas, recusa de acesso a crédito, prisão) contra violações dos requisitos de restabelecimento.
• Garantir que os recursos humanos e financeiros para a aplicação da lei sejam adequados.
",
9,Habilitar,Condições ecológicas,"Solo, água, clima e fogo","As condições do solo, da água, do clima e do fogo são adequadas para a restauração.","• As condições do solo, a precipitação, a temperatura, os incêndios e a gestão da paisagem pretendida são adequadas para permitir o crescimento e a sobrevivência da vegetação plantada ou de regeneração natural?  ","As condições de solo, precipitação e temperatura da paisagem em questão são adequadas para o crescimento da vegetação natural, e o regime de incêndios não impede a recuperação dos ecossistemas naturais. ","• Este fator-chave combina múltiplas condições ecológicas que afetam a restauração do ecossistema.  Cada condição (solo, precipitação, temperatura, incêndios) deve ser avaliada separadamente, mas a resposta pode refletir a soma das quatro.","• Se a resposta for “não”, quais são as deficiências em termos de aptidão física? Será viável tentar superar essas limitações?","• Gerir ou ajustar o plano de restauração de forma adaptativa (por exemplo, a composição das espécies) para corresponder ao regime hídrico e climático da paisagem.
• Implementar um programa para prevenir incêndios indesejados ou introduzir queimadas controladas.
• Implementar um programa para melhorar a qualidade do solo (por exemplo, plantando espécies fixadoras de nitrogênio). 
• Criar diques ou estruturas em forma de crescente para armazenar água após as chuvas.",
10,Habilitar,Condições ecológicas,Espécies invasoras,Plantas e animais que possam dificultar a restauração são mantidos em níveis mínimos.,• É possível eliminar ou controlar eficazmente plantas e animais invasores indesejados que dificultam a recuperação do ecossistema em paisagens e locais de restauração alvo?,"Espécies invasoras persistentes na paisagem em questão podem ser manejadas ou controladas para evitar que interfiram com a vegetação replantada ou em regeneração natural. Áreas de restauração podem ser protegidas do pastoreio de gado, que prejudica a recuperação do ecossistema.","• Considere se existem medidas de monitoramento ou controle (cercas, manejo de ervas daninhas, remoção) para gerenciar espécies problemáticas ou invasoras que possam competir com as espécies utilizadas para restauração ou excluí-las.
• As paisagens podem estar livres de plantas e/ou animais indesejados, seja porque nunca existiram naturalmente na paisagem, seja porque foram minimizados com sucesso por meio de manejo.
• Alguns exemplos de espécies que podem dificultar os esforços de restauração são Brachiaria spp. no Brasil, Imperata cylindrica na Indonésia, Pueraria montana (kudzu) no sul dos Estados Unidos e animais em pastoreio descontrolado (gado, ovelhas, cabras) em vários locais.","• Caso a resposta seja “não”, quais são as espécies vegetais e/ou animais persistentes e como elas afetam a restauração do ecossistema?","• Implementar um programa para eliminar plantas invasoras (por exemplo, usar árvores nativas de crescimento rápido para sombrear plantas invasoras, usar cabras, uso apropriado do fogo).
• Implementar um programa para excluir animais indesejados que estejam soltos (por exemplo, incentivos e treinamento em cercas).
",
